"Month, Year of Date",Measure Names,Measure Values
January 2020,Infused NonEdibel,40.915717465
February 2020,Infused NonEdibel,39.392032929
March 2020,Infused NonEdibel,37.508329646
April 2020,Infused NonEdibel,40.779000071
May 2020,Infused NonEdibel,40.907304803
June 2020,Infused NonEdibel,42.133295208
July 2020,Infused NonEdibel,39.224758566
August 2020,Infused NonEdibel,35.465138270
September 2020,Infused NonEdibel,38.097603281
October 2020,Infused NonEdibel,38.629311725
November 2020,Infused NonEdibel,36.011501486
December 2020,Infused NonEdibel,33.296800405
January 2021,Infused NonEdibel,31.385215794
February 2021,Infused NonEdibel,33.747616056
March 2021,Infused NonEdibel,34.784694153
April 2021,Infused NonEdibel,36.708225883
May 2021,Infused NonEdibel,38.699969978
June 2021,Infused NonEdibel,38.254449769
July 2021,Infused NonEdibel,38.753159433
August 2021,Infused NonEdibel,39.913555398
September 2021,Infused NonEdibel,40.415670234
October 2021,Infused NonEdibel,43.208211368
November 2021,Infused NonEdibel,44.709323607
December 2021,Infused NonEdibel,44.508071379
January 2022,Infused NonEdibel,43.391677491
February 2022,Infused NonEdibel,42.926348371
March 2022,Infused NonEdibel,44.498261877
April 2022,Infused NonEdibel,40.671325078
May 2022,Infused NonEdibel,39.836978622
June 2022,Infused NonEdibel,39.570342982
July 2022,Infused NonEdibel,38.725389324
August 2022,Infused NonEdibel,38.601030057
September 2022,Infused NonEdibel,38.234663663
October 2022,Infused NonEdibel,38.331613989
November 2022,Infused NonEdibel,38.219750765
December 2022,Infused NonEdibel,36.732554673
January 2023,Infused NonEdibel,36.732554673
February 2023,Infused NonEdibel,36.256575966
March 2023,Infused NonEdibel,37.153150770
April 2023,Infused NonEdibel,38.99
May 2023,Infused NonEdibel,39.03
June 2023,Infused NonEdibel,41.317443112
July 2023,Infused NonEdibel,41.707664010
August 2023,Infused NonEdibel,35.829298705
September 2023,Infused NonEdibel,39.192277549
October 2023,Infused NonEdibel,39.546865773
November 2023,Infused NonEdibel,40.192868378
December 2023,Infused NonEdibel,40.515901341
January 2024,Infused NonEdibel,38.167700561
February 2024,Infused NonEdibel,38.531995177
March 2024,Infused NonEdibel,38.214237571
April 2024,Infused NonEdibel,38.6
May 2024,Infused NonEdibel,37.46
June 2024,Infused NonEdibel,38.54
July 2024,Infused NonEdibel,39.011558981
August 2024,Infused NonEdibel,38.49
September 2024,Infused NonEdibel,36.685678301
October 2024,Infused NonEdibel,37.57
November 2024,Infused NonEdibel,34.56
December 2024,Infused NonEdibel,36.336189622
January 2025,Infused NonEdibel,35.82
February 2025,Infused NonEdibel,35.08
March 2025,Infused NonEdibel,34.92
April 2025,Infused NonEdibel,33.944256790
May 2025,Infused NonEdibel,33.96
June 2025,Infused NonEdibel,30.44
July 2025,Infused NonEdibel,28.21
August 2025,Infused NonEdibel,27.37
September 2025,Infused NonEdibel,26.3
October 2025,Infused NonEdibel,26.73
November 2025,Infused NonEdibel,27.16
December 2025,Infused NonEdibel,26.72
January 2020,Infused Edibles,28.404673374
February 2020,Infused Edibles,27.843500617
March 2020,Infused Edibles,28.373362015
April 2020,Infused Edibles,27.978228840
May 2020,Infused Edibles,29.122680660
