Date,Close/Last,Volume,Open,High,Low
02/27/2026,$12.15,123823,$12.23,$12.35,$12.1001
02/26/2026,$12.25,99358,$12.15,$12.30,$12.1026
02/25/2026,$12.15,102707,$12.12,$12.18,$12.02
02/24/2026,$12.10,130389,$11.83,$12.11,$11.8036
02/23/2026,$11.85,125299,$11.87,$11.9698,$11.75
02/20/2026,$11.95,147315,$11.73,$11.965,$11.67
02/19/2026,$11.73,121655,$11.75,$11.83,$11.64
02/18/2026,$11.79,114399,$11.83,$11.88,$11.725
02/17/2026,$11.88,145034,$11.97,$11.9782,$11.70
02/13/2026,$11.96,163319,$11.81,$12.00,$11.62
02/12/2026,$11.79,163088,$11.97,$11.97,$11.66
02/11/2026,$11.90,147100,$12.01,$12.03,$11.81
02/10/2026,$12.00,76895,$12.00,$12.12,$11.965
02/09/2026,$11.98,298777,$12.08,$12.16,$11.80
02/06/2026,$12.10,160845,$12.20,$12.2313,$12.01
02/05/2026,$12.09,162473,$12.40,$12.415,$12.05
02/04/2026,$12.43,136031,$12.34,$12.475,$12.27
02/03/2026,$12.31,103467,$12.42,$12.49,$12.15
02/02/2026,$12.44,150432,$12.41,$12.48,$12.34
01/30/2026,$12.40,110824,$12.45,$12.45,$12.17
01/29/2026,$12.35,115401,$12.17,$12.36,$12.13
01/28/2026,$12.24,98255,$12.39,$12.405,$12.20
01/27/2026,$12.35,68608,$12.21,$12.35,$12.17
01/26/2026,$12.28,94620,$12.43,$12.43,$12.15
01/23/2026,$12.43,146431,$12.42,$12.475,$12.25
01/22/2026,$12.46,76530,$12.57,$12.65,$12.415
01/21/2026,$12.50,99020,$12.575,$12.61,$12.43
01/20/2026,$12.40,123986,$12.50,$12.535,$12.34
01/16/2026,$12.55,115375,$12.66,$12.77,$12.52
01/15/2026,$12.69,116508,$12.65,$12.83,$12.52
01/14/2026,$12.63,147325,$12.33,$12.645,$12.33
01/13/2026,$12.38,91101,$12.41,$12.48,$12.30
01/12/2026,$12.43,110494,$12.35,$12.4399,$12.25
01/09/2026,$12.38,84394,$12.32,$12.42,$12.26
01/08/2026,$12.28,124050,$11.98,$12.4008,$11.98
01/07/2026,$11.98,204269,$12.32,$12.35,$11.89
01/06/2026,$12.24,134120,$12.40,$12.45,$12.15
01/05/2026,$12.40,111283,$12.30,$12.4404,$12.24
01/02/2026,$12.26,187818,$12.38,$12.4072,$12.1501
12/31/2025,$12.26,228028,$12.25,$12.4046,$12.15
12/30/2025,$12.74,138601,$12.78,$12.86,$12.72
12/29/2025,$12.79,641465,$13.13,$13.20,$12.72
12/26/2025,$13.13,93349,$12.98,$13.145,$12.98
12/24/2025,$12.94,29306,$12.79,$12.98,$12.79
12/23/2025,$12.84,78265,$12.90,$12.9025,$12.7552
12/22/2025,$12.92,120488,$13.15,$13.23,$12.89
12/19/2025,$12.99,410051,$13.10,$13.25,$12.91
12/18/2025,$13.17,102196,$13.09,$13.23,$13.045
12/17/2025,$13.00,125256,$13.00,$13.08,$12.925
12/16/2025,$13.01,125389,$12.82,$13.09,$12.815
12/15/2025,$12.80,267834,$13.47,$13.47,$12.66
12/12/2025,$13.47,158745,$13.25,$13.49,$13.24
12/11/2025,$13.12,101666,$13.05,$13.21,$13.05
12/10/2025,$13.11,127660,$12.83,$13.165,$12.83
12/09/2025,$12.81,49351,$12.66,$12.855,$12.66
12/08/2025,$12.67,70809,$12.75,$12.90,$12.60
12/05/2025,$12.75,127427,$12.715,$12.92,$12.66
