Date,Close/Last,Volume,Open,High,Low
02/27/2026,$10.03,41512,$10.27,$10.28,$9.93
02/26/2026,$10.27,24609,$10.07,$10.28,$10.06
02/25/2026,$10.06,31988,$10.02,$10.11,$9.96
02/24/2026,$10.02,32208,$9.83,$10.11,$9.83
02/23/2026,$9.81,98418,$9.96,$10.14,$9.76
02/20/2026,$9.96,47795,$10.01,$10.27,$9.96
02/19/2026,$9.97,65719,$10.10,$10.225,$9.96
02/18/2026,$10.15,30837,$10.11,$10.3047,$10.11
02/17/2026,$10.15,32919,$10.23,$10.33,$10.15
02/13/2026,$10.25,25100,$10.30,$10.34,$10.15
02/12/2026,$10.21,42989,$10.28,$10.35,$10.185
02/11/2026,$10.17,42085,$10.16,$10.42,$10.12
02/10/2026,$10.23,66136,$10.22,$10.40,$10.1101
02/09/2026,$10.29,174966,$10.10,$10.43,$10.08
02/06/2026,$10.11,93334,$10.29,$10.4038,$10.04
02/05/2026,$10.21,66681,$10.20,$10.46,$10.20
02/04/2026,$10.20,25018,$10.21,$10.41,$10.20
02/03/2026,$10.25,93133,$10.27,$10.33,$10.11
02/02/2026,$10.30,77050,$10.42,$10.51,$10.27
01/30/2026,$10.49,78640,$10.53,$10.76,$10.43
01/29/2026,$10.55,56428,$10.64,$10.75,$10.51
01/28/2026,$10.71,85811,$10.60,$10.77,$10.55
01/27/2026,$10.57,27739,$10.66,$10.709,$10.52
01/26/2026,$10.59,73597,$10.78,$10.90,$10.45
01/23/2026,$10.70,123770,$10.61,$10.7399,$10.44
01/22/2026,$10.50,88584,$10.59,$10.7462,$10.43
01/21/2026,$10.50,770900,$10.56,$10.86,$9.58
01/20/2026,$10.65,102191,$10.42,$10.81,$10.42
01/16/2026,$10.42,77303,$10.80,$10.95,$10.41
01/15/2026,$10.91,50181,$10.79,$11.16,$10.6141
01/14/2026,$10.79,42304,$10.45,$10.85,$10.43
01/13/2026,$10.47,63558,$10.60,$10.66,$10.39
01/12/2026,$10.65,82320,$10.44,$10.65,$10.39
01/09/2026,$10.37,59388,$10.41,$10.4999,$10.17
01/08/2026,$10.35,47458,$10.28,$10.415,$10.28
01/07/2026,$10.35,51602,$10.50,$10.51,$10.26
01/06/2026,$10.49,54750,$10.46,$10.49,$10.366
01/05/2026,$10.405,75604,$10.44,$10.49,$10.30
01/02/2026,$10.35,34132,$10.42,$10.455,$10.275
12/31/2025,$10.33,50471,$10.48,$10.48,$10.21
12/30/2025,$10.50,33067,$10.71,$10.73,$10.50
12/29/2025,$10.64,78871,$10.54,$10.74,$10.50
12/26/2025,$10.61,19393,$10.60,$10.73,$10.546
12/24/2025,$10.48,47447,$10.37,$10.596,$10.37
12/23/2025,$10.44,32455,$10.42,$10.6499,$10.2101
12/22/2025,$10.48,68878,$10.32,$10.705,$10.2701
12/19/2025,$10.62,42157,$10.88,$11.0531,$10.60
12/18/2025,$10.86,20607,$10.84,$11.20,$10.7659
12/17/2025,$10.93,39147,$11.08,$11.10,$10.93
12/16/2025,$10.98,30767,$10.93,$11.11,$10.91
12/15/2025,$10.94,106987,$11.08,$11.26,$10.9301
12/12/2025,$10.93,112717,$10.78,$11.095,$10.706
12/11/2025,$10.66,30317,$10.582,$10.6999,$10.582
12/10/2025,$10.625,21496,$10.73,$10.73,$10.62
12/09/2025,$10.64,21287,$10.76,$10.81,$10.57
12/08/2025,$10.69,22956,$10.77,$10.77,$10.6211
12/05/2025,$10.68,19417,$10.67,$10.89,$10.575
12/04/2025,$10.59,24133,$10.88,$10.88,$10.50
12/03/2025,$10.77,66201,$11.27,$11.27,$10.20
12/02/2025,$11.22,37244,$11.13,$11.22,$11.01
12/01/2025,$11.08,53270,$11.00,$11.14,$10.92
11/28/2025,$11.03,50377,$10.93,$11.03,$10.87
11/26/2025,$10.90,16078,$10.90,$10.93,$10.765
11/25/2025,$10.90,19036,$10.89,$10.93,$10.70
11/24/2025,$10.83,34523,$10.65,$10.92,$10.5038
11/21/2025,$10.60,21845,$10.62,$10.66,$10.54
11/20/2025,$10.64,19437,$10.46,$10.64,$10.46
11/19/2025,$10.54,76683,$10.45,$10.6299,$10.0001
11/18/2025,$10.54,80249,$10.35,$10.66,$9.85
11/17/2025,$10.26,29732,$10.33,$10.33,$10.156
11/14/2025,$10.19,11208,$10.13,$10.25,$10.11
11/13/2025,$10.35,10983,$10.18,$10.36,$10.18
